inside,event_year,improvement_category,deeds,parcels,median_nominal_price,share
0,-4,positive,403,385,162000.0,0.7933070866141733
0,-4,zero,105,98,90000.0,0.20669291338582677
0,-3,positive,380,369,174750.0,0.7156308851224106
0,-3,zero,151,139,89250.0,0.2843691148775895
0,-2,positive,367,356,224500.0,0.7645833333333333
0,-2,zero,113,108,99500.0,0.23541666666666666
0,-1,positive,366,363,240000.0,0.7854077253218884
0,-1,zero,100,93,129750.0,0.2145922746781116
0,0,positive,429,412,257000.0,0.8265895953757225
0,0,zero,90,86,89475.0,0.17341040462427745
0,1,positive,439,425,281200.0,0.7608318890814558
0,1,zero,138,131,98500.0,0.2391681109185442
0,2,positive,469,451,300000.0,0.8213660245183888
0,2,zero,102,86,195000.0,0.1786339754816112
1,-4,positive,37,36,147500.0,0.7872340425531915
1,-4,zero,10,10,1350.0,0.2127659574468085
1,-3,positive,46,46,148750.0,0.7301587301587301
1,-3,zero,17,15,39200.0,0.2698412698412698
1,-2,positive,45,45,115000.0,0.75
1,-2,zero,15,15,125000.0,0.25
1,-1,positive,43,43,155000.0,0.5657894736842105
1,-1,zero,33,33,159900.0,0.4342105263157895
1,0,positive,58,57,191500.0,0.6744186046511628
1,0,zero,28,27,189027.5,0.32558139534883723
1,1,positive,48,48,207500.0,0.39669421487603307
1,1,zero,73,65,209600.0,0.6033057851239669
1,2,positive,52,52,186250.0,0.33548387096774196
1,2,zero,103,99,199000.0,0.6645161290322581
