inside,event_year,improvement_category,deeds,mean_log_price,median_real_price
0,-4,positive,403,12.12058392595658,196819.7761027608
0,-4,zero,96,11.667364063173983,114747.78431329192
0,-3,positive,377,12.243036878178746,210822.70083806914
0,-3,zero,143,11.737364286721238,107519.57742741526
0,-2,positive,366,12.421223783184564,265381.05201110174
0,-2,zero,108,11.965950203832929,123180.89018331782
0,-1,positive,364,12.499321915237894,279039.8224422724
0,-1,zero,100,11.810254495222587,150855.90400785353
0,0,positive,429,12.527629740693518,294424.4036404011
0,0,zero,86,11.704828148851975,104537.84759605679
0,1,positive,437,12.636998137981132,317748.2086318947
0,1,zero,132,11.690268854086455,111779.28053657725
0,2,positive,466,12.682684365234596,323435.8255167657
0,2,zero,100,11.95394302733576,210584.26035315296
1,-4,positive,37,12.15117082801989,179203.1912046742
1,-4,zero,5,10.02229329898805,24298.737790464296
1,-3,positive,45,12.250692454223193,180712.70565614206
1,-3,zero,12,11.341128926542874,150587.64345576367
1,-2,positive,43,12.088795364733446,152272.67329058528
1,-2,zero,15,11.325587855628765,148125.16857060825
1,-1,positive,43,12.278917951206001,180213.21866063427
1,-1,zero,32,11.986487303116114,181989.614609888
1,0,positive,58,12.269272298797489,219386.27742076578
1,0,zero,24,12.048832012754907,233763.81152849743
1,1,positive,48,12.442246648724252,231329.94439122741
1,1,zero,70,12.15445291783598,237857.23046158976
1,2,positive,52,12.381992417837228,199892.53375726484
1,2,zero,91,12.253665444064985,225703.13032722546
