n_obs,min_cell,four_cell_clusters,support_gate,cell_0_0,cell_0_1,cell_1_0,cell_1_1,outcome,event_year,estimate,annual_reference_min_cell,annual_reference_four_cell_clusters,status,se_cluster,ci_low,ci_high,p_cluster,p_wild,n_clusters,model_rank,residual_df,target_ss,effective_identifying_clusters,max_identifying_cluster_share,clusters_with_target_variation,bootstrap_draws,bootstrap_seed,bootstrap_type,bootstrap_weights,bootstrap_impose_null,interval_reference,variance,joint_preperiod_p_crv1
4260,246,17,True,1985,1667,246,362,zero_improvement_share,-4,,47,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4260,246,17,True,1985,1667,246,362,zero_improvement_share,-3,,63,6,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4260,246,17,True,1985,1667,246,362,zero_improvement_share,-2,,60,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4260,246,17,True,1985,1667,246,362,zero_improvement_share,0,,76,7,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4260,246,17,True,1985,1667,246,362,zero_improvement_share,1,,76,9,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4260,246,17,True,1985,1667,246,362,zero_improvement_share,2,0.06389585225566402,76,10,estimated_full_annual_model_descriptive,0.10901054348686011,-0.15154666166829045,0.2793383661796185,0.5586839682196924,0.5950595059505951,147.0,244.0,4016.0,26.306427232898205,20.663920647387965,0.11775392273885447,120.0,9999.0,20260904.0,WCR11,Rademacher,True,t_G_minus_1,CRV1_full_model_rank,0.06501285133240092
4182,232,17,True,1957,1650,232,343,pooled_log_price,-4,,42,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4182,232,17,True,1957,1650,232,343,pooled_log_price,-3,,57,6,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4182,232,17,True,1957,1650,232,343,pooled_log_price,-2,,58,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4182,232,17,True,1957,1650,232,343,pooled_log_price,0,,75,7,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4182,232,17,True,1957,1650,232,343,pooled_log_price,1,,75,9,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
4182,232,17,True,1957,1650,232,343,pooled_log_price,2,0.05671750140146993,75,10,estimated_full_annual_model_descriptive,0.1488177035768372,-0.23741467192032928,0.3508496747232691,0.7036715589217286,0.7082708270827083,146.0,243.0,3939.0,25.78307509040568,20.322345550000605,0.12097138614983377,120.0,9999.0,20260904.0,WCR11,Rademacher,True,t_G_minus_1,CRV1_full_model_rank,0.7001129341435566
3168,158,12,True,1510,1332,168,158,improved_log_price,-4,,37,2,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
3168,158,12,True,1510,1332,168,158,improved_log_price,-3,,43,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
3168,158,12,True,1510,1332,168,158,improved_log_price,-2,,43,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
3168,158,12,True,1510,1332,168,158,improved_log_price,0,,43,3,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
3168,158,12,True,1510,1332,168,158,improved_log_price,1,,43,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
3168,158,12,True,1510,1332,168,158,improved_log_price,2,,43,4,insufficient_annual_reference_support,,,,,,,,,,,,,,,,,,,,
