stage,records,parcels,n_obs,min_cell,four_cell_clusters,support_gate,cell_0_0,cell_0_1,cell_1_0,cell_1_1
00_all_delivered_records,113808,78315,,,,,,,,
01_linked_delivery,112371,78315,,,,,,,,
02_high_confidence_identifiers,111408,77851,,,,,,,,
03_valid_dated_rows,111408,77851,,,,,,,,
04_exact_study_period,98921,71541,,,,,,,,
05_residential_at_sale,97819,70790,,,,,,,,
06_arms_length,79949,61177,,,,,,,,
07_unique_instrument_parcel,79949,61177,,,,,,,,
08_saved_exposure_link,79949,61177,,,,,,,,
09_full_footprint_plus_outside_1km,4260,3231,4260.0,246.0,17.0,True,1985.0,1667.0,246.0,362.0
diagnostic_old_cohort_only,1170,879,1170.0,60.0,6.0,False,609.0,430.0,71.0,60.0
diagnostic_old_cohort_and_symmetric_300m,991,733,991.0,37.0,6.0,False,541.0,376.0,37.0,37.0
diagnostic_symmetric_300m_without_old_cohort,1691,1282,1691.0,135.0,16.0,True,761.0,624.0,135.0,171.0
diagnostic_price_floor_only,4224,3199,4224.0,237.0,17.0,True,1973.0,1663.0,237.0,351.0
10_price_eligible,4182,3184,4182.0,232.0,17.0,True,1957.0,1650.0,232.0,343.0
diagnostic_ratio_eligible_prices,2633,2249,2633.0,105.0,8.0,False,1251.0,1155.0,122.0,105.0
diagnostic_complete_building_prices,3213,2585,3213.0,149.0,9.0,False,1557.0,1352.0,155.0,149.0
diagnostic_ratio_and_complete_building_prices,2624,2240,2624.0,105.0,8.0,False,1249.0,1151.0,119.0,105.0
